Feature,MI_Score
F2230,0.053394228842436386
F3912,0.04741559230584014
F3484,0.011844795226251925
F1863,0.01028620265534752
F3898,0.009564135117486217
F1501,0.009112894644241143
F1495,0.008989140327753109
F1381,0.008678133097125174
F267,0.008068558643793189
F1489,0.008029682134565452
F1827,0.00792471822291163
F1821,0.00792471822291163
F1755,0.007868264734659625
F1597,0.007858109779845801
F1603,0.007600104890292836
F3805,0.007576562368279194
F1814,0.007542028657208877
F3800,0.0075264356759465745
F3811,0.007516398617487208
F1609,0.007509112545209473
F1393,0.007406255247126903
F3496,0.007395548441605504
F1815,0.007353763171948358
F1713,0.007350235520688586
F1719,0.007350235520688586
F1387,0.007236698591794877
F1707,0.0072337753588047615
F3490,0.007229612243078831
F1861,0.007120313245470022
F2486,0.0070826274168304115
F270,0.006900080656581098
F2143,0.006893279958353871
F2149,0.006893279958353871
F2489,0.00686137233704831
F1057,0.006847930451104878
F2686,0.006832308203357895
F1611,0.006827338799574978
F1605,0.006791902638445424
F1825,0.00678480654309388
F1753,0.006763064219269421
F1819,0.006748957457501814
F2030,0.006743807648918132
F3801,0.006664766344294248
F1711,0.006531854604693521
F1717,0.006531854604693521
F1177,0.006502841672652249
F949,0.006499930866152526
F3532,0.0064903113748584484
F1063,0.006437354825606256
F1165,0.006414443177358398
F3700,0.0063812884209273335
F471,0.006374575666304727
F3640,0.006360540579636975
F1215,0.006348686122807368
F2145,0.006296356381928714
F2151,0.006296356381928714
F1705,0.006288092182009319
F3799,0.00621427033670674
F1171,0.006207989462162389
F1069,0.006204186208136897
F3806,0.006188464091967494
F1273,0.006181304303012003
F1502,0.006157298837160208
F1496,0.006121120018152348
F1179,0.006108226799242722
F1826,0.006100748659431776
F1813,0.006100054607062311
F1647,0.00609947502392072
F1490,0.00606922002310939
F3813,0.00605105579480647
F1820,0.005990931258233911
F2484,0.005973778234653837
F2138,0.005959478421945996
F1285,0.005947416219125645
F2137,0.005845398397286372
F469,0.005839721421618815
F1706,0.00582942894391747
F3807,0.00582543744014119
F3748,0.0057667127495585335
F3812,0.005759170066869546
F1167,0.005735403821454765
F159,0.005714027091611618
F1105,0.0057108612369216605
F1064,0.00568280024811163
F2387,0.0056814911538514146
F1599,0.005660421498312029
F1927,0.005650293923600835
F1933,0.00564649709926468
F1382,0.005628300113436957
F1166,0.005607780637017834
F3598,0.005600758060904987
F3706,0.005594741190389718
F1275,0.005569742022539348
F1281,0.005553481624647971
F957,0.00554881633028359
F1491,0.0055197827962713
F2042,0.0055156252420494045
F1921,0.005494261402501643
F573,0.00546432995927526
F1497,0.0054450067261354596
F2144,0.0054288444570240735
F3712,0.005411849695163062
F955,0.005405772719141555
F64,0.005399659787586053
F2182,0.00539287240132158
F2036,0.00533077031903928
F1212,0.005327283465129007
F3321,0.0053173429707048525
F1058,0.00531161927072521
F2150,0.0052985669507849
F1279,0.005241806933032334
F1059,0.005231102020342604
F1172,0.005169691897607964
F1503,0.0051488779498393145
F265,0.005138921573859312
F1718,0.0051310446844392565
F1178,0.005107215939951226
F1539,0.005102312933708664
F1712,0.00507816299554098
F3604,0.005026319691707637
F1429,0.005003335041301571
F1071,0.004998843601611069
F961,0.004988894068001626
F960,0.0049789861200197905
F266,0.004973917460690425
F1929,0.004961375388837341
F1935,0.004961375388837341
F1818,0.0049567138784401
F2392,0.00495365776667378
F2586,0.004945761460249054
F2139,0.0049276969859934905
F1394,0.004904025657390121
F504,0.00488669979813805
F1498,0.004873830022301351
F996,0.004834055666968373
F2031,0.0048279470811386505
F3913,0.0048073630537481815
F1923,0.004797283616682635
F550,0.004782278840066767
F60,0.004777655561291838
F2390,0.004724974316472674
F2684,0.004709430087821542
F1598,0.004687770707213157
F2787,0.00465960509002783
F102,0.00465684655179166
F2043,0.004651697746445138
F2037,0.004651697746445138
F502,0.0045794077828857915
F1376,0.004567796386393708
F1104,0.004549419540768818
F1395,0.004541667785069037
F2029,0.004536780439205801
F26,0.004529492906172661
F3410,0.004496289638423412
F950,0.0044532365590849166
F2388,0.004453172160936214
F1383,0.004450167865547194
F1274,0.004449456855982747
F951,0.004447102278378301
F1645,0.004435933582026652
F1323,0.004426146964322641
F1173,0.0044160966555046866
F3642,0.0043926133151906965
F1287,0.004385633114107557
F2041,0.004370070021214589
F2035,0.004370070021214589
F135,0.004345972082446803
F2288,0.004336352583185543
F1213,0.004329021233485553
F1858,0.004327774331341128
F2386,0.004314158584391992
F1922,0.004307223118807713
F1388,0.0043060330234646615
F3386,0.00428784895659462
F1860,0.004285980389840516
F2385,0.0042382290653206756
F1065,0.004217486411034588
F2074,0.0042002008908142985
F1107,0.004192187192271546
F962,0.004181686085354963
F1101,0.004180225477521837
F1604,0.004176641833961936
F3643,0.004174310460669184
F3106,0.004171212735798235
F886,0.004131213946849455
F3367,0.0041247807377060575
F3207,0.004099019450264141
F1389,0.004095532623085152
F162,0.004068112085396036
F1610,0.004064326669527607
F1286,0.004059804837609815
F2079,0.004043660255165671
F157,0.004033949257119862
